n,k,caso,p,disponibilidade_analitica
1,1,k=1 (consulta),0.500000,0.500000
1,1,k=1 (consulta),0.700000,0.700000
1,1,k=1 (consulta),0.900000,0.900000
1,1,k=1 (consulta),0.950000,0.950000
1,1,k=1 (consulta),0.990000,0.990000
1,1,k=ceil(n/2)=1 (quorum),0.500000,0.500000
1,1,k=ceil(n/2)=1 (quorum),0.700000,0.700000
1,1,k=ceil(n/2)=1 (quorum),0.900000,0.900000
1,1,k=ceil(n/2)=1 (quorum),0.950000,0.950000
1,1,k=ceil(n/2)=1 (quorum),0.990000,0.990000
1,1,k=n=1 (atualizacao),0.500000,0.500000
1,1,k=n=1 (atualizacao),0.700000,0.700000
1,1,k=n=1 (atualizacao),0.900000,0.900000
1,1,k=n=1 (atualizacao),0.950000,0.950000
1,1,k=n=1 (atualizacao),0.990000,0.990000
2,1,k=1 (consulta),0.500000,0.750000
2,1,k=1 (consulta),0.700000,0.910000
2,1,k=1 (consulta),0.900000,0.990000
2,1,k=1 (consulta),0.950000,0.997500
2,1,k=1 (consulta),0.990000,0.999900
2,1,k=ceil(n/2)=1 (quorum),0.500000,0.750000
2,1,k=ceil(n/2)=1 (quorum),0.700000,0.910000
2,1,k=ceil(n/2)=1 (quorum),0.900000,0.990000
2,1,k=ceil(n/2)=1 (quorum),0.950000,0.997500
2,1,k=ceil(n/2)=1 (quorum),0.990000,0.999900
2,2,k=n=2 (atualizacao),0.500000,0.250000
2,2,k=n=2 (atualizacao),0.700000,0.490000
2,2,k=n=2 (atualizacao),0.900000,0.810000
2,2,k=n=2 (atualizacao),0.950000,0.902500
2,2,k=n=2 (atualizacao),0.990000,0.980100
3,1,k=1 (consulta),0.500000,0.875000
3,1,k=1 (consulta),0.700000,0.973000
3,1,k=1 (consulta),0.900000,0.999000
3,1,k=1 (consulta),0.950000,0.999875
3,1,k=1 (consulta),0.990000,0.999999
3,2,k=ceil(n/2)=2 (quorum),0.500000,0.500000
3,2,k=ceil(n/2)=2 (quorum),0.700000,0.784000
3,2,k=ceil(n/2)=2 (quorum),0.900000,0.972000
3,2,k=ceil(n/2)=2 (quorum),0.950000,0.992750
3,2,k=ceil(n/2)=2 (quorum),0.990000,0.999702
3,3,k=n=3 (atualizacao),0.500000,0.125000
3,3,k=n=3 (atualizacao),0.700000,0.343000
3,3,k=n=3 (atualizacao),0.900000,0.729000
3,3,k=n=3 (atualizacao),0.950000,0.857375
3,3,k=n=3 (atualizacao),0.990000,0.970299
5,1,k=1 (consulta),0.500000,0.968750
5,1,k=1 (consulta),0.700000,0.997570
5,1,k=1 (consulta),0.900000,0.999990
5,1,k=1 (consulta),0.950000,1.000000
5,1,k=1 (consulta),0.990000,1.000000
5,3,k=ceil(n/2)=3 (quorum),0.500000,0.500000
5,3,k=ceil(n/2)=3 (quorum),0.700000,0.836920
5,3,k=ceil(n/2)=3 (quorum),0.900000,0.991440
5,3,k=ceil(n/2)=3 (quorum),0.950000,0.998842
5,3,k=ceil(n/2)=3 (quorum),0.990000,0.999990
5,5,k=n=5 (atualizacao),0.500000,0.031250
5,5,k=n=5 (atualizacao),0.700000,0.168070
5,5,k=n=5 (atualizacao),0.900000,0.590490
5,5,k=n=5 (atualizacao),0.950000,0.773781
5,5,k=n=5 (atualizacao),0.990000,0.950990
10,1,k=1 (consulta),0.500000,0.999023
10,1,k=1 (consulta),0.700000,0.999994
10,1,k=1 (consulta),0.900000,1.000000
10,1,k=1 (consulta),0.950000,1.000000
10,1,k=1 (consulta),0.990000,1.000000
10,5,k=ceil(n/2)=5 (quorum),0.500000,0.623047
10,5,k=ceil(n/2)=5 (quorum),0.700000,0.952651
10,5,k=ceil(n/2)=5 (quorum),0.900000,0.999853
10,5,k=ceil(n/2)=5 (quorum),0.950000,0.999997
10,5,k=ceil(n/2)=5 (quorum),0.990000,1.000000
10,10,k=n=10 (atualizacao),0.500000,0.000977
10,10,k=n=10 (atualizacao),0.700000,0.028248
10,10,k=n=10 (atualizacao),0.900000,0.348678
10,10,k=n=10 (atualizacao),0.950000,0.598737
10,10,k=n=10 (atualizacao),0.990000,0.904382
