n,k,caso,p,disponibilidade_analitica,disponibilidade_experimental,diferenca_absoluta,rodadas
1,1,k=1 (consulta),0.500000,0.500000,0.497430,0.002570,100000
1,1,k=1 (consulta),0.700000,0.700000,0.699690,0.000310,100000
1,1,k=1 (consulta),0.900000,0.900000,0.899570,0.000430,100000
1,1,k=1 (consulta),0.950000,0.950000,0.949640,0.000360,100000
1,1,k=1 (consulta),0.990000,0.990000,0.989860,0.000140,100000
1,1,k=ceil(n/2)=1 (quorum),0.500000,0.500000,0.497430,0.002570,100000
1,1,k=ceil(n/2)=1 (quorum),0.700000,0.700000,0.699690,0.000310,100000
1,1,k=ceil(n/2)=1 (quorum),0.900000,0.900000,0.899570,0.000430,100000
1,1,k=ceil(n/2)=1 (quorum),0.950000,0.950000,0.949640,0.000360,100000
1,1,k=ceil(n/2)=1 (quorum),0.990000,0.990000,0.989860,0.000140,100000
1,1,k=n=1 (atualizacao),0.500000,0.500000,0.497430,0.002570,100000
1,1,k=n=1 (atualizacao),0.700000,0.700000,0.699690,0.000310,100000
1,1,k=n=1 (atualizacao),0.900000,0.900000,0.899570,0.000430,100000
1,1,k=n=1 (atualizacao),0.950000,0.950000,0.949640,0.000360,100000
1,1,k=n=1 (atualizacao),0.990000,0.990000,0.989860,0.000140,100000
2,1,k=1 (consulta),0.500000,0.750000,0.749720,0.000280,100000
2,1,k=1 (consulta),0.700000,0.910000,0.909770,0.000230,100000
2,1,k=1 (consulta),0.900000,0.990000,0.989600,0.000400,100000
2,1,k=1 (consulta),0.950000,0.997500,0.997320,0.000180,100000
2,1,k=1 (consulta),0.990000,0.999900,0.999860,0.000040,100000
2,1,k=ceil(n/2)=1 (quorum),0.500000,0.750000,0.749720,0.000280,100000
2,1,k=ceil(n/2)=1 (quorum),0.700000,0.910000,0.909770,0.000230,100000
2,1,k=ceil(n/2)=1 (quorum),0.900000,0.990000,0.989600,0.000400,100000
2,1,k=ceil(n/2)=1 (quorum),0.950000,0.997500,0.997320,0.000180,100000
2,1,k=ceil(n/2)=1 (quorum),0.990000,0.999900,0.999860,0.000040,100000
2,2,k=n=2 (atualizacao),0.500000,0.250000,0.250000,0.000000,100000
2,2,k=n=2 (atualizacao),0.700000,0.490000,0.490580,0.000580,100000
2,2,k=n=2 (atualizacao),0.900000,0.810000,0.809290,0.000710,100000
2,2,k=n=2 (atualizacao),0.950000,0.902500,0.902190,0.000310,100000
2,2,k=n=2 (atualizacao),0.990000,0.980100,0.979920,0.000180,100000
3,1,k=1 (consulta),0.500000,0.875000,0.874290,0.000710,100000
3,1,k=1 (consulta),0.700000,0.973000,0.972450,0.000550,100000
3,1,k=1 (consulta),0.900000,0.999000,0.999020,0.000020,100000
3,1,k=1 (consulta),0.950000,0.999875,0.999880,0.000005,100000
3,1,k=1 (consulta),0.990000,0.999999,1.000000,0.000001,100000
3,2,k=ceil(n/2)=2 (quorum),0.500000,0.500000,0.499540,0.000460,100000
3,2,k=ceil(n/2)=2 (quorum),0.700000,0.784000,0.784350,0.000350,100000
3,2,k=ceil(n/2)=2 (quorum),0.900000,0.972000,0.971440,0.000560,100000
3,2,k=ceil(n/2)=2 (quorum),0.950000,0.992750,0.992740,0.000010,100000
3,2,k=ceil(n/2)=2 (quorum),0.990000,0.999702,0.999690,0.000012,100000
3,3,k=n=3 (atualizacao),0.500000,0.125000,0.124960,0.000040,100000
3,3,k=n=3 (atualizacao),0.700000,0.343000,0.341860,0.001140,100000
3,3,k=n=3 (atualizacao),0.900000,0.729000,0.728970,0.000030,100000
3,3,k=n=3 (atualizacao),0.950000,0.857375,0.857810,0.000435,100000
3,3,k=n=3 (atualizacao),0.990000,0.970299,0.970320,0.000021,100000
5,1,k=1 (consulta),0.500000,0.968750,0.969020,0.000270,100000
5,1,k=1 (consulta),0.700000,0.997570,0.997620,0.000050,100000
5,1,k=1 (consulta),0.900000,0.999990,0.999990,0.000000,100000
